ID,down,initial,up,YY,YN,NY,NN,NNY,NNN,No,Yes,income,male,age,c_water,I_P_water,I_P_sw_water,Clean_water,Se_service,I_sw_water,Smell,F_sw_water,I_sw_water,N_sw_water,E_health,E_water,E_ecosystem,E_smell,P_sw_water,P_water
2001,4500,9000,18000,1,0,0,0,0,0,0,1,490,1,38,3,4,4,5,5,1.666666667,3,3,3,4,4,4,4,4,3,0
2002,13500,27000,54000,0,0,0,1,0,1,1,0,850,0,43,4,4,4,3,4,1.333333333,4,3,3,3,3,4,3,3,3,0
2003,7500,15000,30000,0,0,1,0,0,0,1,0,270,1,40,3,3,3,3,3,1.333333333,3,3,3,3,4,4,4,4,3,1
2004,7500,15000,30000,1,0,0,0,0,0,0,1,270,0,37,4,3,3,3,3,1,1,4,4,5,4,4,4,4,3,0
2005,45000,90000,180000,1,0,0,0,0,0,0,1,800,1,33,4,4,4,4,3,1.166666667,3,2,4,5,4,4,5,4,2,0
2006,7500,15000,30000,0,1,0,0,0,0,0,1,430,1,44,4,4,3,5,4,1.333333333,4,4,4,4,4,4,5,4,2,0
2007,13500,27000,54000,0,0,0,1,0,1,1,0,100,0,44,3,4,4,4,4,1.666666667,3,3,3,4,4,4,4,4,3,0
2008,4500,9000,18000,0,0,0,1,0,1,1,0,400,1,36,4,4,3,4,4,1.166666667,3,3,3,4,4,4,4,4,3,0
2009,45000,90000,180000,1,0,0,0,0,0,0,1,290,1,39,3,4,4,5,5,1.166666667,3,3,2,5,3,3,4,3,3,0
2010,4500,9000,18000,0,0,0,1,0,1,1,0,650,1,45,5,4,4,4,3,1.333333333,4,3,4,3,4,3,4,5,4,0
2011,7500,15000,30000,1,0,0,0,0,0,0,1,450,0,39,4,3,3,4,4,2,3,4,4,4,4,4,4,4,3,1
2012,4500,9000,18000,1,0,0,0,0,0,0,1,570,1,39,5,5,4,4,5,1.166666667,4,3,5,4,4,5,4,5,4,0
2013,7500,15000,30000,0,0,0,1,0,1,1,0,350,1,33,4,5,4,4,4,1.666666667,4,3,3,4,4,5,5,5,3,0
2014,7500,15000,30000,0,0,0,1,0,1,1,0,290,0,29,4,4,3,3,4,2,3,4,2,4,3,3,3,4,3,0
2015,4500,9000,18000,0,1,0,0,0,0,0,1,1000,1,51,5,5,5,5,4,1.166666667,3,4,5,5,5,5,5,4,4,1
2016,25000,50000,100000,0,0,0,1,0,1,1,0,290,1,35,5,5,4,5,5,2,3,3,4,4,4,4,4,4,3,0
2017,4500,9000,18000,1,0,0,0,0,0,0,1,660,1,50,5,3,3,4,4,1,3,4,4,5,4,5,4,4,4,0
2018,25000,50000,100000,0,0,0,1,0,1,1,0,420,1,40,5,5,5,5,5,1,2,4,5,5,5,5,5,5,3,0
2019,25000,50000,100000,0,0,0,1,0,1,1,0,810,0,32,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,0
2020,13500,27000,54000,0,0,1,0,0,0,1,0,270,1,34,4,4,4,5,5,1.833333333,1,5,3,5,4,5,5,4,3,1
2021,25000,50000,100000,0,0,1,0,0,0,1,0,210,1,31,3,4,3,4,4,2,4,3,3,4,4,4,4,4,3,0
2022,25000,50000,100000,0,0,1,0,0,0,1,0,190,0,29,4,5,4,5,5,1.5,4,2,3,5,1,2,2,2,4,0
2023,4500,9000,18000,1,0,0,0,0,0,0,1,600,0,43,4,4,4,4,4,1,4,4,4,4,3,4,4,4,4,1
2024,45000,90000,180000,0,0,1,0,0,0,1,0,270,1,36,3,4,4,5,5,1.333333333,4,3,3,5,5,5,5,5,3,0
2025,4500,9000,18000,1,0,0,0,0,0,0,1,600,1,47,4,3,3,5,4,1.666666667,4,4,4,5,5,5,5,5,2,0
2026,7500,15000,30000,1,0,0,0,0,0,0,1,450,1,44,4,3,3,4,4,1.666666667,2,3,4,4,4,4,4,4,4,0
2027,7500,15000,30000,0,1,0,0,0,0,0,1,190,1,40,5,5,5,5,5,1.833333333,1,3,3,5,4,4,4,4,4,0
2028,4500,9000,18000,1,0,0,0,0,0,0,1,850,0,46,5,5,5,5,5,1.666666667,2,4,3,4,5,5,5,5,4,0
2029,7500,15000,30000,0,1,0,0,0,0,0,1,450,1,44,4,3,3,5,4,1.333333333,3,3,3,4,4,4,4,4,3,0
2030,45000,90000,180000,0,1,0,0,0,0,0,1,390,1,44,4,3,3,5,5,1.5,4,3,3,5,4,5,4,5,3,0
2031,25000,50000,100000,1,0,0,0,0,0,0,1,350,1,65,5,4,4,5,4,1,4,3,5,5,4,4,4,4,5,1
2032,45000,90000,180000,0,1,0,0,0,0,0,1,1000,1,57,4,4,4,5,5,1.166666667,4,4,4,5,5,5,4,4,3,1
2033,25000,50000,100000,0,0,0,1,1,0,1,0,450,1,63,4,4,4,4,4,1,4,3,4,4,4,3,4,5,4,1
